Index,OEM,Model,Launch Announced,Launch Status,Body Dimensions,Body Weight,Body SIM,Display Type,Display Size,Display Resolution,Features Sensors,Platform OS
233,LG,W7020,2002,Q4",Discontinued,88 x 45 x 22 mm (3.46 x 1.77 x 0.87 in),89 g (3.14 oz),Mini-SIM,"STN,65K colors",,"128 x 160 pixels
234,LG,W5200,2002,Q3",Discontinued,84 x 45 x 20 mm (3.31 x 1.77 x 0.79 in),80 g (2.82 oz),Mini-SIM,"Grayscale graphic,4 shades",,"128 x 128 pixels
235,LG,LG-600,2002,Discontinued,80 x 44 x 24 mm (3.15 x 1.73 x 0.94 in),90 g (3.17 oz),Mini-SIM,Monochrome graphic,,128 x 90 pixels,V1,
236,LG,LG-500,2002,Discontinued,109 x 46 x 20 mm (4.29 x 1.81 x 0.79 in),90 g (3.17 oz),Mini-SIM,Monochrome graphic,,128 x 90 pixels,V1,
237,LG,LG-200,,Discontinued,106 x 45 x 20 mm (4.17 x 1.77 x 0.79 in),80 g (2.82 oz),Mini-SIM,Monochrome graphic,,"128 x 64 pixels,18:9 ratio",V1
238,Maxon,MX-C90,2003,Discontinued,83 x 47 x 23 mm (3.27 x 1.85 x 0.91 in),82 g (2.89 oz),Mini-SIM,"TFT,65K colors",,"128 x 128 pixels,1:1 ratio"
239,Maxon,MX-C80,2003,Q4",Discontinued,84 x 43.7 x 20.8 mm (3.31 x 1.72 x 0.82 in),85 g (3.00 oz),Mini-SIM,"TFT,65K colors",,128 x 160 pixels
240,Maxon,MX-C180,2003,Q4",Discontinued,84 x 43.7 x 20.8 mm (3.31 x 1.72 x 0.82 in),85 g (3.00 oz),Mini-SIM,"TFT,65K colors",,128 x 160 pixels
241,Maxon,MX-A30,2004,Discontinued,90 x 48.5 x 22.4 mm (3.54 x 1.91 x 0.88 in),90 g (3.17 oz),Mini-SIM,"TFT,65K colors",,128 x 160 pixels,V1
242,Maxon,MX-C60,2003,Discontinued,80 x 45 x 22.9 mm (3.15 x 1.77 x 0.90 in),85 g (3.00 oz),Mini-SIM,"CSTN,65K colors",,"128 x 128 pixels,8 lines
243,Maxon,MX-C20,2003,Discontinued,91 x 46 x 23 mm (3.58 x 1.81 x 0.91 in),90 g (3.17 oz),Mini-SIM,"CSTN,65K colors",,"128 x 160 pixels,7 lines"
244,Maxon,MX-C110,2004,Discontinued,86 x 46 x 21 mm (3.39 x 1.81 x 0.83 in),85 g (3.00 oz),Mini-SIM,65K colors,,,V1,
245,Maxon,MX-E10,2003,Discontinued,91 x 48 x 22.6 mm (3.58 x 1.89 x 0.89 in),90 g (3.17 oz),Mini-SIM,"TFT,65K colors",,"176 x 220 pixels,10 lines"
246,Maxon,MX-V10,2004,Discontinued,78 x 37 x 20.5 mm (3.07 x 1.46 x 0.81 in),67 g (2.36 oz),Mini-SIM,"STN,65K colors",,"128 x 128 pixels,1:1 ratio"
247,Maxon,MX-V30,2004,Discontinued,81 x 43 x 21 mm (3.19 x 1.69 x 0.83 in),80 g (2.82 oz),Mini-SIM,"TFT,65K colors",,,V1
248,Maxon,MX-7990,2003,Discontinued,78 x 37 x 20.5 mm (3.07 x 1.46 x 0.81 in),67 g (2.36 oz),Mini-SIM,65K colors,,"128 x 128 pixels,8 lines,1:1 ratio"
249,Maxon,MX-E80,2004,Cancelled,V1,,Mini-SIM,65K colors,,,V1,
250,Maxon,MX-7750,2004,Discontinued,85 x 45 x 21 mm (3.35 x 1.77 x 0.83 in),81 g (2.86 oz),Mini-SIM,65K colors,,,V1,
251,Maxon,MX-C11,2004,Discontinued,85 x 45 x 21 mm (3.35 x 1.77 x 0.83 in),81 g (2.86 oz),Mini-SIM,65K colors,,"128 x 128 pixels,1:1 ratio",V1
252,Maxon,MX-C160,2004,Discontinued,65 x 37 x 22 mm (2.56 x 1.46 x 0.87 in),59 g (2.08 oz),Mini-SIM,4096 colors,,,V1,
253,Maxon,MX-7940,2003,Discontinued,80 x 45 x 24 mm (3.15 x 1.77 x 0.94 in),85 g (3.00 oz),Mini-SIM,"UFB,65K colors",,"128 x 128 pixels,8 lines
254,Maxon,MX-7920,2003,Discontinued,64.9 x 37 x 22.1 mm (2.56 x 1.46 x 0.87 in),59 g (2.08 oz),Mini-SIM,"Grayscale graphic,4 shades",,"128 x 128 pixels,7 lines
255,Maxon,MX-7830,2003,Discontinued,113 x 47 x 19 mm (4.45 x 1.85 x 0.75 in),95 g (3.35 oz),Mini-SIM,65K colors,,"128 x 160 pixels,11 lines",V1
256,Maxon,MX-7600,2003,Discontinued,85 x 46 x 21 mm (3.35 x 1.81 x 0.83 in),80 g (2.82 oz),Mini-SIM,"TFT,65K colors",,"128 x 160 pixels,6 lines"
257,Maxon,MX-6879,2000,Discontinued,110 x 43 x 22 mm (4.33 x 1.69 x 0.87 in),135 g (4.76 oz),Mini-SIM,Monochrome graphic,,4 x 12 chars,V1,
258,Maxon,MX-6869,2000,Discontinued,110 x 43 x 20 mm (4.33 x 1.69 x 0.79 in),135 g (4.76 oz),Mini-SIM,Monochrome graphic,,4 x 12 chars,V1,
259,Maxon,MX-6815,1999,Discontinued,110 x 46 x 23 mm (4.33 x 1.81 x 0.91 in),96 g (3.39 oz),Mini-SIM,Monochrome graphic,,4 x 12 chars,V1,
260,Maxon,MX-6814,1999,Discontinued,110 x 46 x 23 mm (4.33 x 1.81 x 0.91 in),96 g (3.39 oz),Mini-SIM,Monochrome graphic,,4 x 12 chars,V1,
261,Meizu,17 Pro,2020,May 08","Available. Released 2020,May 11",160 x 77.2 x 8.5 mm (6.30 x 3.04 x 0.33 in),219 g (7.72 oz),"Dual SIM (Nano-SIM,dual stand-by)","Super AMOLED capacitive touchscreen,16M colors"
262,Meizu,17,2020,May 08","Available. Released 2020,May 11",160 x 77.2 x 8.5 mm (6.30 x 3.04 x 0.33 in),199 g (7.02 oz),"Dual SIM (Nano-SIM,dual stand-by)","Super AMOLED capacitive touchscreen,16M colors"
263,Meizu,16T,2019,October","Available. Released 2019,October",159.6 x 78.2 x 8.3 mm (6.28 x 3.08 x 0.33 in),183 g (6.46 oz),"Dual SIM (Nano-SIM,dual stand-by)","Super AMOLED capacitive touchscreen,16M colors"
264,Meizu,M10,2019,September","Available. Released 2019,October",164.9 x 76.3 x 8.5 mm (6.49 x 3.00 x 0.33 in),184 g (6.49 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
265,Meizu,16s Pro,2019,August","Available. Released 2019,August",151.9 x 73.4 x 7.7 mm (5.98 x 2.89 x 0.30 in),166 g (5.86 oz),"Dual SIM (Nano-SIM,dual stand-by)","Super AMOLED capacitive touchscreen,16M colors"
266,Meizu,16Xs,2019,May","Available. Released 2019,June",152 x 74.4 x 8.3 mm (5.98 x 2.93 x 0.33 in),165 g (5.82 oz),"Dual SIM (Nano-SIM,dual stand-by)","Super AMOLED capacitive touchscreen,16M colors"
267,Meizu,16s,2019,April","Available. Released 2019,April",151.9 x 73.4 x 7.6 mm (5.98 x 2.89 x 0.30 in),165 g (5.82 oz),"Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
268,Micromax,A36 Bolt,2014,Discontinued,,,Dual SIM (Mini-SIM),"TFT capacitive touchscreen,65K colors","4.0 inches,45.5 cm","480 x 800 pixels
269,Micromax,A28 Bolt,2014,Discontinued,116.9 x 62.5 x 12.5 mm (4.60 x 2.46 x 0.49 in),89 g (3.14 oz),Dual SIM (Mini-SIM),"TFT capacitive touchscreen,65K colors","3.5 inches,36.5 cm (~49.9% screen-to-body ratio)","320 x 480 pixels
270,Micromax,Bolt A62,2013,April. Released 2013,April",Discontinued,121.7 x 67.2 x 12.2 mm (4.79 x 2.65 x 0.48 in),85 g (3.00 oz),Dual SIM,TFT touchscreen,"3.95 inches,46.5 cm (~56.8% screen-to-body ratio)"
271,Micromax,Bolt A35,2013,February. Released 2013,February",Discontinued,124 x 64 x 11.6 mm (4.88 x 2.52 x 0.46 in),89 g (3.14 oz),Dual SIM,TFT touchscreen,"4.0 inches,45.5 cm (~57.4% screen-to-body ratio)"
272,Micromax,Bolt A27,2013,January. Released 2013,January",Discontinued,116.2 x 62 x 13.2 mm (4.57 x 2.44 x 0.52 in),89 g (3.14 oz),Dual SIM,TFT touchscreen,"3.5 inches,36.5 cm (~50.6% screen-to-body ratio)"
273,Micromax,GC275,2010,Discontinued,107.7 x 44.4 x 14.5 mm (4.24 x 1.75 x 0.57 in),100 g (3.53 oz),Mini-SIM,"TFT,65K colors",,,V1
274,Mitac,MIO Leap G50,2008,August. Released Released 2009,October",Discontinued,98 x 58.5 x 14.2 mm (3.86 x 2.30 x 0.56 in),119 g (4.20 oz),Mini-SIM,"TFT resistive touchscreen,65K colors","2.8 inches
275,Mitac,MIO Leap K1,2008,June. Released 2009,October",Discontinued,105.1 x 53.5 x 14.5 mm (4.14 x 2.11 x 0.57 in),125 g (4.41 oz),Mini-SIM,"TFT resistive touchscreen,65K colors","2.6 inches
276,Mitac,MIO A701,2005,August",Discontinued,117 x 59 x 22 mm (4.61 x 2.32 x 0.87 in),150 g (5.29 oz),Mini-SIM,"TFT resistive touchscreen,65K colors","2.7 inches,41 x 54 mm
277,Mitac,MIO 8870,2004,Q4",Discontinued,"110 x 49 x 21 mm,110 cc (4.33 x 1.93 x 0.83 in)",120 g (4.23 oz),Mini-SIM,"TFT,65K colors","2.2 inches
278,Mitac,MIO 8860,2004,Q1",Cancelled,V1,,Mini-SIM,"TFT,256K colors (65K effective)","2.2 inches,35 x 44 mm
279,Mitsubishi,M750,2003,Q4",Discontinued,"96 x 47 x 24 mm,88 cc (3.78 x 1.85 x 0.94 in)",102 g (3.60 oz),Mini-SIM,"TFT,256K colors",
280,Mitsubishi,M342i,2004,Q1",Discontinued,"107 x 47 x 19 mm,85 cc (4.21 x 1.85 x 0.75 in)",99 (3.49 oz),Mini-SIM,"TFT,256K colors",
281,Mitsubishi,M341i/M720,2003,Q4",Discontinued,"96 x 47 x 24 mm,87 cc (3.78 x 1.85 x 0.94 in)",102 g (3.60 oz),Mini-SIM,"TFT,256K colors",
282,Mitsubishi,Trium Eclipse,2001,Q3",Discontinued,"123 x 48 x 29 mm,100 cc (4.84 x 1.89 x 1.14 in)",110 g (3.88 oz),Mini-SIM,"CSTN,256 colors",
283,Mitsubishi,Trium Sirius,2001,Discontinued,104 x 53 x 22 mm (4.09 x 2.09 x 0.87 in),75 g (2.65 oz),Mini-SIM,Monochrome graphic,,5 x 13 to 25 chars,V1,
284,Mitsubishi,Trium Mondo,2000,Discontinued,139.5 x 84 x 19 mm (5.49 x 3.31 x 0.75 in),200 g (7.05 oz),Mini-SIM,"Monochrome resistive touchscreen,16 shades",,"240 x 320 pixels,4:3 ratio"
285,Motorola,One Fusion+,2020,June 08","Available. Released 2020,June 08",162.9 x 76.4 x 9.6 mm (6.41 x 3.01 x 0.38 in),210 g (7.41 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
286,Motorola,Moto G Fast,2020,June 05","Available. Released 2020,June 12",161.9 x 75.7 x 9.1 mm (6.37 x 2.98 x 0.36 in),189.4 g (6.67 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
287,Motorola,Moto E (2020),2020,June 05","Available. Released 2020,June 10",159.8 x 76.6 x 8.7 mm (6.29 x 3.02 x 0.34 in),185 g (6.53 oz),Nano-SIM,"IPS LCD capacitive touchscreen,16M colors","6.2 inches
288,Motorola,Moto G Pro,2020,May 26","Available. Released 2020,June 15",158.6 x 75.8 x 9.2 mm (6.24 x 2.98 x 0.36 in),192 g (6.77 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
289,Motorola,Edge+,2020,April 22","Available. Released 2020,May 14",161.1 x 71.4 x 9.6 mm (6.34 x 2.81 x 0.38 in),203 g (7.16 oz),Nano-SIM,"OLED capacitive touchscreen,1B colors","6.7 inches
290,Motorola,Moto G8 Power Lite,2020,April 03","Available. Released 2020,April 03",164.9 x 75.8 x 9.2 mm (6.49 x 2.98 x 0.36 in),200 g (7.05 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
291,Motorola,Moto E6s (2020),2020,March 17","Available. Released 2020,April 27",155.6 x 73 x 8.5 mm (6.13 x 2.87 x 0.33 in),160 g (5.64 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
292,Motorola,Moto G8,2020,March 05","Available. Released 2020,March 05",161.3 x 75.8 x 9 mm (6.35 x 2.98 x 0.35 in),188.3 g (6.63 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
293,Motorola,Moto G Stylus,2020,February 07","Available. Released 2020,April 16",158.6 x 75.8 x 9.2 mm (6.24 x 2.98 x 0.36 in),192 g (6.77 oz),Nano-SIM,"IPS LCD capacitive touchscreen,16M colors","6.4 inches
294,Motorola,Moto G Power,2020,February 07","Available. Released 2020,April 17",159.9 x 75.8 x 9.6 mm (6.30 x 2.98 x 0.38 in),199 g (7.02 oz),Nano-SIM,"IPS LCD capacitive touchscreen,16M colors","6.4 inches
295,Motorola,Moto G8 Power,2020,February 07","Available. Released 2020,April 16",156 x 75.8 x 9.6 mm (6.14 x 2.98 x 0.38 in),197 g (6.95 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
296,Motorola,One Hyper,2019,December 04","Available. Released 2020,January 22",161.8 x 76.6 x 8.9 mm (6.37 x 3.02 x 0.35 in),210 g (7.41 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
297,Motorola,Razr 2019,2019,November 14","Available. Released 2020,February 06",Unfolded: 172 x 72 x 6.9 mmFolded: 94 x 72 x 14mm,205 g (7.23 oz),eSIM,"Foldable P-OLED capacitive touchscreen,16M colors","6.2 inches
298,Motorola,Moto G8 Play,2019,October","Available. Released 2019,October",157.6 x 75.4 x 9 mm (6.20 x 2.97 x 0.35 in),183.6 g (6.49 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
299,Motorola,Moto E6 Play,2019,October","Available. Released 2019,November",146.5 x 70.9 x 8.3 mm (5.77 x 2.79 x 0.33 in),140 g (4.94 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
300,Motorola,Moto G8 Plus,2019,October 24","Available. Released 2019,October 28",158.4 x 75.8 x 9.1 mm (6.24 x 2.98 x 0.36 in),188 g (6.63 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by)","LTPS IPS LCD capacitive touchscreen,16M colors"
301,Motorola,One Macro,2019,October 09","Available. Released 2019,October 12",157.6 x 75.4 x 9 mm (6.20 x 2.97 x 0.35 in),186 g (6.56 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
302,Motorola,Moto E6 Plus,2019,September 05","Available. Released 2019,September 16",155.6 x 73.1 x 8.6 mm (6.13 x 2.88 x 0.34 in),149.7 g (5.29 oz),"Dual SIM (Nano-SIM/Micro-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
303,Motorola,One Zoom,2019,September 05","Available. Released 2019,September 05",158 x 75 x 8.8 mm (6.22 x 2.95 x 0.35 in),190 g (6.70 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by)","Super AMOLED capacitive touchscreen,16M colors"
304,Motorola,One Action,2019,August 16","Available. Released 2019,October 31",160.1 x 71.2 x 9.2 mm (6.30 x 2.80 x 0.36 in),176 g (6.21 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by)","LTPS IPS LCD capacitive touchscreen,16M colors"
305,Motorola,Moto E6,2019,July","Available. Released 2019,August",149.7 x 72.3 x 8.6 mm (5.89 x 2.85 x 0.34 in),159 g (5.61 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
306,Motorola,Moto Z4,2019,May","Available. Released 2019,June",158 x 75 x 7.4 mm (6.22 x 2.95 x 0.29 in),165 g (5.82 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by)","OLED capacitive touchscreen,16M colors"
307,Motorola,One Vision,2019,May 15","Available. Released 2019,June 20",160.1 x 71.2 x 8.7 mm (6.30 x 2.80 x 0.34 in),180 g (6.35 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by)","LTPS IPS LCD capacitive touchscreen,16M colors"
308,Motorola,XOOM MZ604,2011,February. Released 2011,May",Discontinued,249.1 x 167.8 x 12.9 mm (9.81 x 6.61 x 0.51 in),730 g (1.61 lb),No,"TFT capacitive touchscreen,16M colors","10.1 inches
309,Motorola,XOOM MZ601,2011,February. Released 2011,March",Discontinued,249.1 x 167.8 x 12.9 mm (9.81 x 6.61 x 0.51 in),730 g (1.61 lb),Mini-SIM,"TFT capacitive touchscreen,16M colors","10.1 inches
310,Motorola,QUENCH,2010,February. Released 2010,April",Discontinued,116.8 x 60 x 12.4 mm (4.60 x 2.36 x 0.49 in),130 g (4.59 oz),Mini-SIM,"TFT capacitive touchscreen,65K colors","3.1 inches
311,Motorola,XT701,2009,December. Released 2010,May",Discontinued,116 x 60.9 x 10.9 mm (4.57 x 2.40 x 0.43 in),140 g (4.94 oz),Mini-SIM,"TFT capacitive touchscreen,16M colors","3.7 inches
312,Motorola,A910,2005,July",Discontinued,"93 x 51 x 23 mm,88 cc (3.66 x 2.01 x 0.91 in)",127 g (4.48 oz),Mini-SIM,"TFT,256K colors",
313,Motorola,E895,2005,June",Discontinued,"93 x 51 x 23 mm,88 cc (3.66 x 2.01 x 0.91 in)",127 g (4.48 oz),Mini-SIM,"TFT,256K colors","2.2 inches
314,Motorola,E1060,2005,Q1",Cancelled,107 x 53 x 21 mm (4.21 x 2.09 x 0.83 in),125 g (4.41 oz),Mini-SIM,"TFT,256K colors",,"320 x 240 pixels
315,Motorola,C168,2005,Q3",Discontinued,"104.4 x 46 x 14 mm,63 cc (4.11 x 1.81 x 0.55 in)",77 g (2.72 oz),Mini-SIM,"CSTN,4096 colors",
316,Motorola,E680i,2005,March",Discontinued,"109 x 53.8 x 20.5 mm,105 cc (4.29 x 2.12 x 0.81 in)",133 g (4.69 oz),Mini-SIM,"TFT resistive touchscreen,65K colors","2.5 inches
317,Motorola,V560,2005,Q1",Cancelled,V1,,Mini-SIM,V1,,,V1
318,Motorola,V186,2005,Q1",Discontinued,86.5 x 44.5 x 25 mm (3.41 x 1.75 x 0.98 in),92 g (3.25 oz),Mini-SIM,"CSTN,65K colors",,"128 x 128 pixels
319,Motorola,V176,2005,Q1",Discontinued,V1,,Mini-SIM,"CSTN,65K colors",,128 x 160 pixels
320,Motorola,C980,2004,Q3",Discontinued,114 x 53 x 24.5 mm (4.49 x 2.09 x 0.96 in),139 g (4.90 oz),Mini-SIM,"TFT,65K colors","1.9 inches,30 x 37 mm
321,Motorola,A780,2004,Q3",Discontinued,"106 x 53 x 24 mm,106 cc (4.17 x 2.09 x 0.94 in)",141 g (4.97 oz),Mini-SIM,"TFT resistive touchscreen,65K colors","2.5 inches
322,Motorola,C975,2004,Q3",Discontinued,"114 x 53 x 24 mm,112 cc (4.49 x 2.09 x 0.94 in)",139 g (4.90 oz),Mini-SIM,"TFT,65K colors","1.9 inches
323,Motorola,V555,2004,Q3",Discontinued,89 x 49 x 25 mm (3.50 x 1.93 x 0.98 in),120 g (4.23 oz),Mini-SIM,"TFT,65K colors",,"176 x 220 pixels
324,Motorola,A840,2004,Q1",Discontinued,94 x 49 x 24 mm (3.70 x 1.93 x 0.94 in),115 g (4.06 oz),Mini-SIM,"TFT,256K colors","2.2 inches,35 x 44 mm
325,Motorola,E398,2004,Q1",Discontinued,108 x 46 x 21 mm (4.25 x 1.81 x 0.83 in),108 g (3.81 oz),Mini-SIM,"TFT,65K colors","1.9 inches,30 x 37 mm
326,Motorola,MPx,2004,Q1",Discontinued,"99.7 x 61.2 x 24 mm,140 cc (3.93 x 2.41 x 0.94 in)",174 g (6.14 oz),Mini-SIM,"TFT resistive touchscreen,65k colors","2.8 inches
327,Motorola,MPx100,2004,Q1",Cancelled,"114 x 50 x 22 mm,106 cc (4.49 x 1.97 x 0.87 in)",130 g (4.59 oz),Mini-SIM,"TFT,65k colors",
328,Motorola,V872,2004,Q3",Discontinued,"87 x 46 x 21.8 mm,85 cc (3.43 x 1.81 x 0.86 in)",90 g (3.17 oz),Mini-SIM,"TFT,65K colors",
329,Motorola,V878,2003,Q4",Discontinued,82 x 42 x 21.5 mm (3.23 x 1.65 x 0.85 in),85 g (3.00 oz),Mini-SIM,"TFT,65K colors",,128 x 160 pixels
330,Motorola,A925,2003,Q4",Discontinued,"148 x 60 x 24 mm,175 cc (5.83 x 2.36 x 0.94 in)",210 g (7.41 oz),Mini-SIM,"TFT resistive touchscreen,65K colors",
331,Motorola,A920,2003,Discontinued,"148 x 60 x 24 mm,175 cc (5.83 x 2.36 x 0.94 in)",212 g (7.48 oz),Mini-SIM,"TFT resistive touchscreen,65K colors",,"208 x 320 pixels
332,Motorola,V690,2003,Q3",Discontinued,"90 x 47 x 23 mm,80 cc (3.54 x 1.85 x 0.91 in)",93 g (3.28 oz),Mini-SIM,"TFT,65K colors",
333,Motorola,A835,2003,Discontinued,"135 x 58.2 x 24.2 mm,134 cc (5.31 x 2.29 x 0.95 in)",157 g (5.54 oz),Mini-SIM,"TFT,65K colors",,176 x 220 pixels
334,Motorola,T725,2003,Discontinued,90 x 47 x 21 mm (3.54 x 1.85 x 0.83 in),100 g (3.53 oz),Mini-SIM,"CSTN,4096 colors",,"120 x 160 pixels,9 lines
335,Motorola,T720i,2002,October",Discontinued,90 x 47 x 21 mm (3.54 x 1.85 x 0.83 in),100 g (3.53 oz),Mini-SIM,"CSTN,4096 colors",,"120 x 160 pixels
336,Motorola,T720,2002,October",Discontinued,90 x 47 x 21 mm (3.54 x 1.85 x 0.83 in),100 g (3.53 oz),Mini-SIM,"CSTN,4096 colors",,"120 x 160 pixels
337,Motorola,V70,2002,Discontinued,94 x 38 x 18 mm (3.70 x 1.50 x 0.71 in),83 g (2.93 oz),Mini-SIM,Monochrome graphic,,"96 x 64 pixels,3 lines + prompts,3:2 ratio"
338,Motorola,C336,2002,Discontinued,"102 x 46 x 19 mm,73 cc (4.02 x 1.81 x 0.75 in)",80 g (2.82 oz),Mini-SIM,Grayscale graphic,,"98 x 64 pixels,5 lines
339,Motorola,C332,2002,Discontinued,107 x 46 x 22 mm (4.21 x 1.81 x 0.87 in),84 g (2.96 oz),Mini-SIM,Grayscale graphic,,"98 x 64 pixels,5 lines,3:2 ratio"
340,Motorola,C331,2002,Discontinued,101 x 48 x 21 mm (3.98 x 1.89 x 0.83 in),83 g (2.93 oz),Mini-SIM,Grayscale graphic,,"98 x 64 pixels,5 lines,3:2 ratio"
341,Motorola,V60i,2002,Q4",Discontinued,"87 x 45 x 24 mm,73 cc (3.43 x 1.77 x 0.94 in)",103 g (3.63 oz),Mini-SIM,Monochrome graphic,,"96 x 64 pixels
342,Motorola,Accompli 388,2002,Discontinued,98 x 58 x 24 mm (3.86 x 2.28 x 0.94 in),130 g (4.59 oz),Mini-SIM,Monochrome graphic,,"320 x 240 pixels,8 lines,4:3 ratio"
343,Motorola,V60,2001,Q4",Discontinued,"87 x 45 x 24 mm,73 cc (3.43 x 1.77 x 0.94 in)",109 g (3.84 oz),Mini-SIM,Monochrome graphic,,"96 x 64 pixels
344,Motorola,Accompli 008,2002,Discontinued,98 x 60 x 28 mm (3.86 x 2.36 x 1.10 in),155 g (5.47 oz),Mini-SIM,"Monochrome graphics,resistive touchscreen",,"320 x 240 pixels,8 lines
345,Motorola,Timeport 280,2001,Discontinued,"125 x 49 x 24 mm,98 cc (4.92 x 1.93 x 0.94 in)",109 g (3.84 oz),Mini-SIM,"Monochrome graphic,Optimax",,"128 x 100 pixels
346,Motorola,V.box(V100),2000,Discontinued,83 x 44 x 25 mm (3.27 x 1.73 x 0.98 in),83 g (2.93 oz),Mini-SIM,Monochrome graphic,,"126 x 64 pixels,7 lines",V1
347,Motorola,StarTAC 130,1998,Discontinued,94 x 55 x 19 mm (3.70 x 2.17 x 0.75 in),95 g (3.35 oz),Mini-SIM,Monochrome graphic,,4 x 15 chars,V1,
348,Motorola,StarTAC 85,1997,Discontinued,98 x 57 x 23 mm (3.86 x 2.24 x 0.91 in),112 g (3.95 oz),Mini-SIM,Monochrome graphic,,4 x 15 chars,V1,
349,Motorola,StarTAC Rainbow,1997,Discontinued,98 x 57 x 23 mm (3.86 x 2.24 x 0.91 in),112 g (3.95 oz),Mini-SIM,Alphanumeric,,2 x 12 chars,V1,
350,Motorola,StarTAC 75+,1997,Discontinued,98 x 57 x 23 mm (3.86 x 2.24 x 0.91 in),112 g (3.95 oz),Mini-SIM,Alphanumeric,,2 x 12 chars,V1,
351,Motorola,StarTAC 75,1997,Discontinued,98 x 57 x 23 mm (3.86 x 2.24 x 0.91 in),112 g (3.95 oz),Mini-SIM,Alphanumeric,,2 x 12 chars,V1,
352,Motorola,SlimLite,1997,Discontinued,143 x 57 x 16 mm (5.63 x 2.24 x 0.63 in),141 g (4.97 oz),Mini-SIM,Monochrome graphic,,4 x 16 chars,V1,
353,Motorola,cd930,1998,Discontinued,129 x 55 x 27 mm (5.08 x 2.17 x 1.06 in),120 g (4.23 oz),Mini-SIM,"Monochrome graphic,Optimax",,"96 x 32 pixels,4 x 12 chars"
354,Motorola,cd920,1998,Discontinued,129 x 55 x 27 mm (5.08 x 2.17 x 1.06 in),120 g (4.23 oz),Mini-SIM,"Monochrome graphic,Optimax",,"96 x 32 pixels,4 x 12 chars"
355,Motorola,M3188,1999,Discontinued,"140 x 50 x 25 mm,150 cc (5.51 x 1.97 x 0.98 in)",170 g (6.00 oz),Mini-SIM,Monochrome graphic,,"96 x 32 pixels,2 x 12 chars"
356,Motorola,M3288,1999,Discontinued,"140 x 50 x 25 mm,150 cc (5.51 x 1.97 x 0.98 in)",170 g (6.00 oz),Mini-SIM,Monochrome graphic,,"96 x 32 pixels,4 x 12 chars"
357,Motorola,M3588,1999,Discontinued,"140 x 50 x 25 mm,150 cc (5.51 x 1.97 x 0.98 in)",170 g (6.00 oz),Mini-SIM,Monochrome graphic,,"96 x 32 pixels,4 x 12 chars"
358,Motorola,M3688,1999,Discontinued,"140 x 50 x 25 mm,150 cc (5.51 x 1.97 x 0.98 in)",170 g (6.00 oz),Mini-SIM,"Monochrome graphic,Optimax",,"96 x 32 pixels
359,Motorola,M3788,1999,Discontinued,"140 x 50 x 25 mm,150 cc (5.51 x 1.97 x 0.98 in)",170 g (6.00 oz),Mini-SIM,"Monochrome graphic,Optimax",,"96 x 32 pixels
360,Motorola,M3888,1999,Discontinued,"140 x 50 x 25 mm,150 cc (5.51 x 1.97 x 0.98 in)",170 g (6.00 oz),Mini-SIM,Monochrome graphic,,2 x 12 chars,V1
361,Motorola,Moto Z4 Force,,Cancelled,,,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by)","Super AMOLED capacitive touchscreen,16M colors","6.4 inches,100.5 cm"
